"Y" "X"
"1" 24417.35 19
"2" 24594.92 20
"3" 28453.1 22
"4" 23202.28 18
"5" 27217.46 21
"6" 26808.17 21
"7" 26406.74 21
"8" 27902.27 24
"9" 21917.42 18
"10" 30281.34 24
"11" 23336.97 19
"12" 22320.26 18
"13" 23386.31 19
"14" 29018.77 22
"15" 25478.94 21
"16" 24546.91 20
"17" 23814.26 19
"18" 24015.76 19
"19" 29988.87 24
"20" 26149.85 21
"21" 23504.58 20
"22" 24167.84 19
"23" 25517.14 20
"24" 20915.66 17
"25" 25674.86 20
"26" 23037.55 19
"27" 30186.07 24
"28" 29136 24
"29" 24475.66 21
"30" 23756.32 18
"31" 29293.51 23
"32" 28743.16 23
"33" 30092.81 23
"34" 26967.85 23
"35" 25127.85 20
"36" 26196.34 23
"37" 31243.93 24
"38" 25321.11 21
"39" 22493.56 19
"40" 27722.8 23
"41" 27435.62 23
"42" 23017.65 20
"43" 30010.06 25
"44" 23648.32 19
"45" 28312.51 22
"46" 19407.67 15
"47" 24957.82 21
"48" 29157.31 24
"49" 26930.24 20
"50" 24210.2 19
"51" 27308.65 23
"52" 26435.05 19
"53" 27887.07 22
"54" 22253.89 17
"55" 22488.44 17
"56" 25226.01 20
"57" 22668.2 18
"58" 28815.18 24
"59" 27289.15 23
"60" 26264.06 19
"61" 26734.57 22
"62" 29512.86 23
"63" 28364.66 22
"64" 29008 22
"65" 31635.4 24
"66" 25702.46 20
"67" 26217.85 20
"68" 27476.35 23
"69" 23268.33 18
"70" 27416.41 21
"71" 26434.58 21
"72" 26981.3 22
"73" 30038.22 24
"74" 26849.41 22
"75" 26899.4 22
"76" 29763.9 23
"77" 31955.54 24
"78" 25690.84 22
"79" 22199.18 19
"80" 25161.45 21
"81" 31323.09 25
"82" 24111.15 20
"83" 28993.68 23
"84" 30036.54 24
"85" 28169.5 23
"86" 25652.07 21
"87" 26077.75 22
"88" 24482.13 19
"89" 29562.79 22
"90" 23383.33 19
"91" 22442.68 19
"92" 23128.77 19
"93" 24449.92 19
"94" 30571.29 24
"95" 27676.63 20
"96" 24829.13 21
"97" 25057.76 20
"98" 27202.93 22
"99" 27338.48 23
"100" 24337.56 20

